"legislator_name","party","chamber","district_number","leg_n_votes_partisan","leg_mean_partisanship","sd_partisan_vote","se_partisan_vote","lower_bound","upper_bound","leg_label"
"Lauren Melo","R","House",82,1075,0.00186046511627907,0.0305281255436332,0.000931099100067666,0.000929366016211404,0.00279156421634674,"Lauren Melo (R-82)"
"Lawrence McClure","R","House",68,1077,0.00278551532033426,0.0527289084143046,0.00160672269843892,0.00117879262189534,0.00439223801877318,"Lawrence McClure (R-68)"
"Linda Chaney","R","House",61,1107,0.017163504968383,0.126644212815982,0.00380637470341769,0.0133571302649653,0.0209698796718007,"Linda Chaney (R-61)"
"Linda Stewart","D","Senate",17,1460,0.0366438356164384,0.187164805469516,0.00489832683248442,0.0317455087839539,0.0415421624489228,"Linda Stewart (D-17)"
"Lindsay Cross","D","House",60,1134,0.0167548500881834,0.102999815939122,0.00305865096940453,0.0136961991187789,0.0198135010575879,"Lindsay Cross (D-60)"
"Lisa Dunkley","D","House",97,1170,0.0256410256410256,0.14796420524783,0.00432577309276669,0.0213152525482589,0.0299667987337923,"Lisa Dunkley (D-97)"
"Lori Berman","D","Senate",26,1445,0.0207612456747405,0.0597824778497233,0.00157267863923949,0.019188567035501,0.02233392431398,"Lori Berman (D-26)"
"Marie Woodson","D","House",105,1406,0.0110241820768137,0.0801482647188996,0.00213747706557714,0.00888670501123651,0.0131616591423908,"Marie Woodson (D-105)"
"Melony Bell","R","House",49,1059,0.00613786591123702,0.0751282318151971,0.0023086345325311,0.00382923137870592,0.00844650044376812,"Melony Bell (R-49)"
"Michael Gottlieb","D","House",102,1450,0.0224137931034483,0.105696962587366,0.00277573822429091,0.0196380548791574,0.0251895313277392,"Michael Gottlieb (D-102)"
"Michael Grant","R","House",75,1074,0,0,0,0,0,"Michael Grant (R-75)"
"Michele Rayner-Goolsby","D","House",62,1155,0.0207792207792208,0.0667849664185172,0.00196511386483101,0.0188141069143898,0.0227443346440518,"Michele Rayner-Goolsby (D-62)"
